video_name,frame_path,is_hit_frame
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0054.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0055.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0056.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0057.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0058.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0059.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0060.jpg,1
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0000.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0001.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0002.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0003.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0004.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0005.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0006.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0007.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0008.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0009.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0010.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0011.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0012.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0013.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0014.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0015.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0016.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0017.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0018.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0019.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0020.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0021.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0022.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0023.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0024.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0025.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0026.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0027.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0028.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0029.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0030.jpg,0
OCT01,Frames/Outdoor Field/Cross-court Shot/Top-View\OCT01\frame_0031.jpg,0
